Date_fcx,fcx_volume,fcx_price,Date_nktr,nktr_volume,nktr_price
01-09-2021,16478206,30.12817,01-09-2021,922234,13.30182
31-08-2021,16216136,30.65398,31-08-2021,972876,13.11087
30-08-2021,13357867,30.88812,30-08-2021,1093003,12.84116
27-08-2021,18805795,30.82127,27-08-2021,1435025,12.66842
26-08-2021,11336100,29.22927,26-08-2021,880279,12.10755
25-08-2021,9923530,29.69395,25-08-2021,713259,12.2619
24-08-2021,15470679,29.80894,24-08-2021,777033,11.98502
23-08-2021,16189623,28.97606,23-08-2021,690773,11.96013
20-08-2021,21881060,27.8754,20-08-2021,819010,11.6295
19-08-2021,32408559,27.58781,19-08-2021,884385,11.18241
18-08-2021,18157869,28.80309,18-08-2021,601909,11.55654
17-08-2021,23492844,29.48351,17-08-2021,946862,11.67478
16-08-2021,13434755,31.11739,16-08-2021,1185794,11.69427
13-08-2021,12872640,32.11348,13-08-2021,747845,12.11017
12-08-2021,11492417,32.52883,12-08-2021,1025907,12.18265
11-08-2021,16883123,32.78898,11-08-2021,1213335,12.21485
10-08-2021,17807380,32.44559,10-08-2021,1046632,12.79447
09-08-2021,9479633,30.88297,09-08-2021,679986,13.20048
06-08-2021,13856028,31.1846,06-08-2021,877691,13.41443
05-08-2021,10530962,30.11747,05-08-2021,731829,13.40485
04-08-2021,11763586,29.95198,04-08-2021,817649,13.1948
03-08-2021,17245390,30.70594,03-08-2021,829277,13.31311
02-08-2021,21801086,30.684,02-08-2021,604647,13.44566
30-07-2021,15910587,31.95371,30-07-2021,611158,13.31478
29-07-2021,23065884,32.19344,29-07-2021,455788,13.51283
28-07-2021,14851467,30.87996,28-07-2021,471417,13.75487
27-07-2021,17933488,30.54526,27-07-2021,899037,13.44204
26-07-2021,22801035,30.85993,26-07-2021,542648,13.74873
23-07-2021,15945495,29.74137,23-07-2021,462409,14.02957
22-07-2021,20606992,29.42426,22-07-2021,385595,13.92502
21-07-2021,24349383,29.2229,21-07-2021,452101,14.22878
20-07-2021,20933332,27.82456,20-07-2021,862389,14.20445
19-07-2021,31431745,27.31142,19-07-2021,791940,13.83168
16-07-2021,25880978,27.95734,16-07-2021,1629315,13.63983
15-07-2021,15838115,28.97905,15-07-2021,1108580,14.05575
14-07-2021,19482461,29.01485,14-07-2021,1033567,13.9187
13-07-2021,14532691,30.04247,13-07-2021,655531,14.46967
12-07-2021,11999777,30.57525,12-07-2021,751460,14.53027
09-07-2021,18023064,30.5244,09-07-2021,922465,14.636
08-07-2021,24061706,29.06706,08-07-2021,974713,14.19164
07-07-2021,14745187,30.45639,07-07-2021,525487,14.08475
06-07-2021,18992921,30.24131,06-07-2021,734966,14.31231
02-07-2021,10228180,31.12256,02-07-2021,492121,14.44613
01-07-2021,13946143,31.06755,01-07-2021,794149,14.78606
30-06-2021,12448852,31.0843,30-06-2021,564895,14.48223
29-06-2021,14898707,31.09498,29-06-2021,667390,14.63517
28-06-2021,14933259,30.58338,28-06-2021,1962243,14.88719
25-06-2021,44083089,30.96324,25-06-2021,1866222,14.46762
24-06-2021,20393530,31.2222,24-06-2021,1155508,14.27014
23-06-2021,21647600,30.91594,23-06-2021,631717,13.96615
22-06-2021,27500662,30.34473,22-06-2021,675694,13.96732
21-06-2021,28159329,29.79424,21-06-2021,820655,14.14548
18-06-2021,46250164,29.21929,18-06-2021,1421725,14.31579
17-06-2021,59951440,29.32623,17-06-2021,662474,14.49227
16-06-2021,36697099,30.35333,16-06-2021,850250,14.3258
15-06-2021,51189822,30.78037,15-06-2021,780846,14.64038
14-06-2021,19426517,32.32472,14-06-2021,831579,14.58505
11-06-2021,20060214,33.51554,11-06-2021,673421,14.55733
10-06-2021,16410681,32.71666,10-06-2021,1327401,14.65057
09-06-2021,13874843,33.17582,09-06-2021,1048981,13.80585
08-06-2021,14799559,33.72457,08-06-2021,1360769,13.56545
07-06-2021,16725102,33.57989,07-06-2021,2373520,13.56294
04-06-2021,15799194,34.05736,04-06-2021,1076570,14.08601
03-06-2021,20223814,34.28721,03-06-2021,565210,14.74422
02-06-2021,14691299,35.22362,02-06-2021,679340,14.64953
01-06-2021,22142658,35.86901,01-06-2021,635344,14.77969
28-05-2021,14727755,34.75103,28-05-2021,528246,14.81026
27-05-2021,28490648,34.68223,27-05-2021,652724,14.73581
26-05-2021,18366243,33.61494,26-05-2021,562485,14.78689
25-05-2021,18214337,32.98613,25-05-2021,504146,14.35458
24-05-2021,13460078,33.77679,24-05-2021,691151,14.58862
